Gene_ID	Status	Uniprot_ID_Insecta	Percent_Identical	E_score	GO_Tag	GO_Category	GO_Name	Species	Manduca_Protein_Name	Manduca_Protein_ID	Insecta_Protein_Name
LOC101739883	Pass:	A0A8S1AYD7	81.043	0	GO:0009887	P	animal organ morphogenesis	Arctia plantaginis	Uncharacterized protein	NA	NA
LOC101744145	Pass:	A0A3S2M2L3	89.246	0	GO:0005794	C	Golgi apparatus	Chilo suppressalis	Polypeptide N-acetylgalactosaminyltransferase	NA	NA
LOC101744168	Pass:	A0A7E5VWQ8	79.212	0	GO:0005524	F	ATP binding	Trichoplusia ni	Phospholipid-transporting ATPase	NA	NA
LOC101742830	Pass:	A0A6J2JYG5	98.458	0	GO:0016491	F	oxidoreductase activity	Bombyx mandarina	Cytochrome P450 9e2-like isoform X2	NA	NA
LOC101737337	Pass:	A0A8R2R0I7	95.548	0	GO:0005886	C	plasma membrane	Bombyx mori	PH-sensitive chloride channel 1	NA	NA
Mtap	Fail:	A0A0N1PH14	83.395	2.66e-170	GO:0019509	P	L-methionine salvage from methylthioadenosine	Papilio machaon	S-methyl-5'-thioadenosine phosphorylase	NA	NA
LOC101742915	Pass:	A0A6J2JWM3	99.924	0	GO:0031514	C	motile cilium	Bombyx mandarina	Dynein beta chain, ciliary-like isoform X2	NA	NA
LOC101745884	Pass:	A0A8B8HZF9	83.1	0	GO:0005509	F	calcium ion binding	Vanessa tameamea	Protocadherin-like wing polarity protein stan	NA	NA
ST5	Pass:	A0A8R2DP90	100	0	GO:0005886	C	plasma membrane	Bombyx mori	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC101739080	Pass:	A0A8S0Z8F2	59.591	0	GO:0016874	F	ligase activity	Arctia plantaginis	DNA ligase	NA	NA
LOC101740437	Pass:	A0A8R2LYG2	100	0	GO:0009982	F	pseudouridine synthase activity	Bombyx mori	tRNA pseudouridine synthase	NA	NA
LOC101735377	Pass:	A0A6J1P853	62.176	0	GO:0005634	C	nucleus	Bicyclus anynana	Nucleolar complex protein 3 homolog	NA	NA
LOC101739373	Fail:	A0A6J3CD55	73.016	8.289999999999998e-166	GO:0030246	F	carbohydrate binding	Galleria mellonella	Galectin	NA	NA
LOC101741238	Pass:	A0A6J2KKV0	100	0	GO:0000077	P	DNA damage checkpoint signaling	Bombyx mandarina	non-specific serine/threonine protein kinase	NA	NA
LOC101743840	Fail:	H9JU86	96.078	4.869999999999999e-180	GO:0004518	F	nuclease activity	Bombyx mori	Poxin	NA	NA
LOC101740244	Pass:	A0A1E1WJY3	56.69	0	GO:0016787	F	hydrolase activity	Pectinophora gossypiella	Endoribonuclease	NA	NA
LOC101737901	Pass:	A0A7E5WDN0	71.932	0	GO:0005524	F	ATP binding	Trichoplusia ni	Kinase suppressor of Ras 2 isoform X2	NA	NA
LOC101738267	Pass:	A0A6J2JZE8	99.928	0	GO:0000166	F	nucleotide binding	Bombyx mandarina	AAA+ ATPase domain-containing protein	NA	NA
LOC101744316	Pass:	A0A8R2LW38	100	0	GO:0015937	P	coenzyme A biosynthetic process	Bombyx mori	DNA/pantothenate metabolism flavoprotein C-terminal domain-containing protein	NA	NA
Nav	Pass:	A0A8R2M475	99.617	0	GO:0055085	P	transmembrane transport	Bombyx mori	Sodium channel protein	NA	NA
LOC101745622	Pass:	A0A437BUH1	83.519	0	GO:0046872	F	metal ion binding	Chilo suppressalis	Uncharacterized protein	NA	NA
LOC101739722	Pass:	A0A821VEB7	73.223	0	GO:0009966	P	regulation of signal transduction	Pieris macdunnoughi	WH1 domain-containing protein	NA	NA
LOC101745237	Pass:	A0A6J1WBQ9	89.047	0	GO:0000166	F	nucleotide binding	Galleria mellonella	Glutathione synthetase	NA	NA
LOC101741664	Pass:	A0A6J2KG89	98.504	0	GO:0006851	P	mitochondrial calcium ion transmembrane transport	Bombyx mandarina	EF-hand domain-containing protein	NA	NA
LOC101742144	Pass:	A0A0L7K8E1	61.574	0	GO:0005643	C	nuclear pore	Operophtera brumata	mRNA export factor GLE1	NA	NA
LOC101746513	Pass:	A0A8R2R6D5	98.072	0	GO:0016301	F	kinase activity	Bombyx mori	non-specific serine/threonine protein kinase	NA	NA
LOC101747212	Pass:	A0A8J9Y4P2	82.158	0	GO:0016020	C	membrane	Brenthis ino	Otopetrin-2	NA	NA
LOC101742598	Fail:	A0A8R2AID1	64.47	2.7799999999999998e-136	GO:0005634	C	nucleus	Bombyx mori	Uncharacterized protein	NA	NA
MOF	Pass:	A5JPL6	100	0	GO:0016740	F	transferase activity	Bombyx mori	Histone acetyltransferase	NA	NA
LOC119628755	Pass:	A0A8R2QT05	100	0	GO:0003824	F	catalytic activity	Bombyx mori	Reverse transcriptase	NA	NA
LOC101738187	Pass:	A0A3G6V6N5	92.952	0	GO:0007154	P	cell communication	Heortia vitessoides	Ionotropic receptor 25a	NA	NA
Nav	Pass:	A0A8R2R5Z7	99.419	0	GO:0001518	C	voltage-gated sodium channel complex	Bombyx mori	Sodium channel protein	NA	NA
LOC101737466	Pass:	A0A8R2R4G1	76.391	0	GO:0005576	C	extracellular region	Bombyx mori	Chitin-binding type-2 domain-containing protein	NA	NA
LOC692918	Pass:	A0A1E1WD01	99.048	0	GO:0006353	P	DNA-templated transcription termination	Pectinophora gossypiella	Uncharacterized protein	NA	NA
LOC101740015	Pass:	A0A0N1IKA5	87.637	0	GO:0043229	C	intracellular organelle	Papilio xuthus	ATP-dependent RNA helicase	NA	NA
LOC101744944	Pass:	A0A8R2QWU9	99.312	0	GO:0004402	F	histone acetyltransferase activity	Bombyx mori	histone acetyltransferase	NA	NA
LOC101744395	Pass:	A0A8R2M0H4	99.669	0	GO:0046983	F	protein dimerization activity	Bombyx mori	Anoctamin	NA	NA
LOC101746051	Fail:	A0A194QGJ9	92.063	7.259999999999999e-126	GO:0046872	F	metal ion binding	Papilio xuthus	Globin family profile domain-containing protein	NA	NA
LOC101743275	Pass:	A0A8R2DNT3	100	0	GO:0005737	C	cytoplasm	Bombyx mori	NADP-dependent oxidoreductase domain-containing protein	NA	NA
LOC101743647	Pass:	A0A8R2LUY6	98.818	0	GO:0003774	F	cytoskeletal motor activity	Bombyx mori	Kinesin-like protein unc-104	NA	NA
LOC101736018	Pass:	A0A8B8HUX5	79.528	0	GO:0016020	C	membrane	Vanessa tameamea	V-SNARE coiled-coil homology domain-containing protein	NA	NA
LOC101746302	Pass:	A0A6J2JVG7	100	0	GO:0005739	C	mitochondrion	Bombyx mandarina	ATP synthase subunit b	NA	NA
LOC101745515	Pass:	A0A6J2K1K9	100	0	GO:0071805	P	potassium ion transmembrane transport	Bombyx mandarina	BTB domain-containing protein	NA	NA
LOC101746835	Fail:	A0A194QPY2	47.494	7.65e-146	GO:0016020	C	membrane	Papilio xuthus	Major facilitator superfamily (MFS) profile domain-containing protein	NA	NA
LOC101744836	Pass:	A0A7E5WD39	91.522	0	GO:0005978	P	glycogen biosynthetic process	Trichoplusia ni	UTP--glucose-1-phosphate uridylyltransferase	NA	NA
LOC100302733	Pass:	A0A6J2K999	99.799	0	GO:0005524	F	ATP binding	Bombyx mandarina	Calcium-transporting ATPase	NA	NA
LOC100174852	Pass:	A0A8J2W833	94.843	0	GO:0005524	F	ATP binding	Danaus chrysippus	non-specific serine/threonine protein kinase	NA	NA
LOC101739194	Pass:	A0A6J2JJ68	99.567	0	GO:0050277	F	sedoheptulokinase activity	Bombyx mandarina	Carbohydrate kinase FGGY N-terminal domain-containing protein	NA	NA
Mre11	Pass:	A0A212EVJ6	65.579	0	GO:0030870	C	Mre11 complex	Danaus plexippus plexippus	Double-strand break repair protein	NA	NA
LOC101741278	Pass:	A0A8S1AYL4	77.046	0	GO:0016301	F	kinase activity	Arctia plantaginis	Phosphatidylinositol 3-kinase	NA	NA
LOC101738134	Pass:	A0A8R2C7P0	100	0	GO:0005634	C	nucleus	Bombyx mori	BCL2-associated athanogene 6	NA	NA
Syx6	Fail:	A0A6J1N2F8	83.128	5.309999999999999e-150	GO:0048193	P	Golgi vesicle transport	Bicyclus anynana	t-SNARE coiled-coil homology domain-containing protein	NA	NA
PLCg	Pass:	D2XZ03	99.417	0	GO:0110165	C	cellular anatomical entity	Bombyx mori	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma	NA	NA
LOC101742560	Pass:	A0A8R2HTM4	99.854	0	GO:0016020	C	membrane	Bombyx mori	Long-chain-fatty-acid--CoA ligase	NA	NA
Per	Pass:	A0A6J2K0Q9	98.789	0	GO:0006355	P	regulation of DNA-templated transcription	Bombyx mandarina	PAS domain-containing protein	NA	NA
LOC101739881	Pass:	H9JTB8	100	0	GO:0000166	F	nucleotide binding	Bombyx mori	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	NA	NA
LOC692936	Pass:	A0A2A4JZX2	96.404	0	GO:0006412	P	translation	Heliothis virescens	Eukaryotic translation initiation factor 3 subunit E	NA	NA
LOC101737091	Fail:	A0A2A4JP00	83.019	8.839999999999999e-132	GO:0016020	C	membrane	Heliothis virescens	Sugar transporter SWEET	NA	NA
LOC101737362	Pass:	A0A6J2JNE9	94.019	0	GO:0000166	F	nucleotide binding	Bombyx mandarina	AAA+ ATPase domain-containing protein	NA	NA
Stat	Pass:	G0ZEM4	99.454	0	GO:0005634	C	nucleus	Bombyx mori	Signal transducer and activator of transcription	NA	NA
LOC101745781	Pass:	A0A437BMH5	85.804	0	GO:0005739	C	mitochondrion	Chilo suppressalis	Mitochondrial glycine transporter	NA	NA
LOC101739599	Pass:	A0A2H1W166	82.964	0	GO:0004812	F	aminoacyl-tRNA ligase activity	Spodoptera frugiperda	leucine--tRNA ligase	NA	NA
LOC101743453	Pass:	A0A8R2C674	99.857	0	GO:0016020	C	membrane	Bombyx mori	Solute carrier organic anion transporter family member	NA	NA
LOC101743874	Pass:	A0A2A4JIL5	84.686	0	GO:0005789	C	endoplasmic reticulum membrane	Heliothis virescens	tRNA-t(6)A37 methylthiotransferase	NA	NA
LOC101739040	Pass:	A0A8R2M5T4	98.913	0	GO:0016055	P	Wnt signaling pathway	Bombyx mori	Protein kinase domain-containing protein	NA	NA
LOC101743918	Pass:	A0A7E5WIT1	80.565	0	GO:0005737	C	cytoplasm	Trichoplusia ni	CCR4-NOT transcription complex subunit 10	NA	NA
LOC101743511	Fail:	A0A3S2NX11	96.491	1.2099999999999998e-121	GO:0005768	C	endosome	Chilo suppressalis	Uncharacterized protein	NA	NA
LOC101744807	Pass:	A0A6J2KRX6	99.116	0	GO:0004725	F	protein tyrosine phosphatase activity	Bombyx mandarina	Tyrosine-protein phosphatase non-receptor type 9 isoform X2	NA	NA
LOC101737362	Pass:	A0A8R2R251	99.891	0	GO:0005524	F	ATP binding	Bombyx mori	AAA+ ATPase domain-containing protein	NA	NA
LOC101740114	Pass:	A0A7E5WE72	83.929	0	GO:0016301	F	kinase activity	Trichoplusia ni	Kinase	NA	NA
LOC101744944	Pass:	A0A8R2QZ98	99.679	0	GO:0006338	P	chromatin remodeling	Bombyx mori	histone acetyltransferase	NA	NA
LOC101738068	Pass:	A0A6J2K594	100	0	GO:0016020	C	membrane	Bombyx mandarina	Fucosyltransferase	NA	NA
LOC101739763	Fail:	A0A7E5VQB7	62.388	3.89e-133	GO:0016310	P	phosphorylation	Trichoplusia ni	Ribosomal protein S6 kinase delta-1-like isoform X2	NA	NA
LOC101739271	Pass:	A0A835L5R4	60.355	0	GO:0008237	F	metallopeptidase activity	Spodoptera exigua	Metalloendopeptidase	NA	NA
Cyp315a1	Pass:	Q2HZZ4	67.483	0	GO:0005506	F	iron ion binding	Manduca sexta	Cytochrome P450 CYP315A1	NA	NA
LOC119628755	Pass:	A0A8R2QY70	98.562	0	GO:0003676	F	nucleic acid binding	Bombyx mori	CCHC-type domain-containing protein	NA	NA
LOC101736317	Pass:	A0A8R2M4G5	100	0	GO:0008380	P	RNA splicing	Bombyx mori	RRM domain-containing protein	NA	NA
STIP	Pass:	A0A8R2C8R2	100	0	GO:0003676	F	nucleic acid binding	Bombyx mori	G-patch domain-containing protein	NA	NA
LOC101743860	Pass:	A0A8R2QWT0	99.863	0	GO:0019222	P	regulation of metabolic process	Bombyx mori	RCR-type E3 ubiquitin transferase	NA	NA
LOC101747060	Pass:	A0A8R1WE62	91.857	0	GO:0016020	C	membrane	Bombyx mori	Post-GPI attachment to proteins factor 3	NA	NA
LOC101742462	Fail:	A0A8B8IBQ1	60.059	9.649999999999999e-159	GO:0016020	C	membrane	Vanessa tameamea	Calcineurin-like phosphoesterase domain-containing protein	NA	NA
LOC101740886	Fail:	A0A6J1X0B2	74.247	1.1299999999999998e-144	GO:0006357	P	regulation of transcription by RNA polymerase II	Galleria mellonella	Homeobox domain-containing protein	NA	NA
LOC101737683	Pass:	A0A1E1WPM0	91.481	0	GO:0015031	P	protein transport	Pectinophora gossypiella	Vacuolar protein sorting-associated protein 35	NA	NA
LOC101744563	Pass:	A0A1E1WJ36	71.823	0	GO:0032957	P	inositol trisphosphate metabolic process	Pectinophora gossypiella	Inositol-tetrakisphosphate 1-kinase	NA	NA
LOC101745884	Pass:	A0A8R2M616	99.308	0	GO:0007156	P	homophilic cell adhesion via plasma membrane adhesion molecules	Bombyx mori	Protocadherin-like wing polarity protein stan	NA	NA
LOC101736734	Fail:	A0A8R1WRD4	100	1.6199999999999997e-143	GO:0003006	P	developmental process involved in reproduction	Bombyx mori	Ras-related protein Rac1	NA	NA
SC1	Pass:	A0A6J2JU29	95.898	0	GO:0034220	P	monoatomic ion transmembrane transport	Bombyx mandarina	Sodium channel protein	NA	NA
LOC101747023	Pass:	A0A2A4JWS8	75.732	0	GO:0009058	P	biosynthetic process	Heliothis virescens	alanine transaminase	NA	NA
LOC101745122	Pass:	A0A6J1NVV9	90.121	0	GO:0006397	P	mRNA processing	Bicyclus anynana	U4/U6 small nuclear ribonucleoprotein Prp31	NA	NA
LOC733031	Pass:	A0A7E5VD52	92.161	0	GO:1902600	P	proton transmembrane transport	Trichoplusia ni	V-type proton ATPase subunit H	NA	NA
LOC101746094	Pass:	A0A8R1WJ23	100	0	GO:0007186	P	G protein-coupled receptor signaling pathway	Bombyx mori	G-protein coupled receptors family 1 profile domain-containing protein	NA	NA
Treh-2	Pass:	A0A6J2KPR4	99.065	0	GO:0016798	F	hydrolase activity, acting on glycosyl bonds	Bombyx mandarina	Trehalase	NA	NA
LOC101746813	Pass:	A0A8R2G9Y7	94.666	0	GO:0016035	C	zeta DNA polymerase complex	Bombyx mori	DNA polymerase	NA	NA
Or-7	Pass:	Q5FBD8	88.489	0	GO:0016020	C	membrane	Bombyx mori	Odorant receptor	NA	NA
LOC692747	Pass:	A0A8S3WTY4	97.69	0	GO:0003677	F	DNA binding	Parnassius apollo	Homeobox domain-containing protein	NA	NA
LOC101741206	Fail:	A0A8S0YV34	52.013	4.3699999999999993e-110	GO:0035735	P	intraciliary transport involved in cilium assembly	Arctia plantaginis	Cytoplasmic dynein 2 light intermediate chain 1	NA	NA
LOC101740011	Pass:	A0A6J2KKV3	100	0	GO:0000287	F	magnesium ion binding	Bombyx mandarina	Phospholipid-transporting ATPase	NA	NA
LOC101739070	Pass:	A0A8R2R3V1	99.416	0	GO:0006816	P	calcium ion transport	Bombyx mori	Ryanodine receptor	NA	NA
LOC101743096	Fail:	A0A7E5VF50	61.724	2.0899999999999999e-125	GO:0005509	F	calcium ion binding	Trichoplusia ni	Phospholipase A2	NA	NA
LOC101741709	Pass:	A0A8S0ZNJ6	77.039	0	GO:0005524	F	ATP binding	Arctia plantaginis	Protein kinase domain-containing protein	NA	NA
LOC101739780	Pass:	A0A8S1AS97	81.191	0	GO:0007018	P	microtubule-based movement	Arctia plantaginis	Kinesin-like protein Klp98A	NA	NA
LOC101741118	Pass:	A0A0V0J107	77.083	0	GO:0007154	P	cell communication	Cydia pomonella	Putative ionotropic glutamate receptor iGluR3	NA	NA
LOC101743965	Fail:	A0A8S3X533	71.429	4.71e-159	GO:0016829	F	lyase activity	Parnassius apollo	N-acetylneuraminate lyase	NA	NA
LOC101737983	Pass:	A0A8R2RBF9	98.788	0	GO:0005737	C	cytoplasm	Bombyx mori	Nuclear protein MDM1	NA	NA
LOC101737263	Pass:	A0A8R2M5K6	99.967	0	GO:0046872	F	metal ion binding	Bombyx mori	Histone-lysine N-methyltransferase ash1	NA	NA
LOC101744063	Fail:	A0A6J2JIW4	100	2.9599999999999995e-171	GO:0016311	P	dephosphorylation	Bombyx mandarina	Dual specificity protein phosphatase 23-like	NA	NA
LOC733043	Fail:	A0A194PLX1	79.894	5.28e-109	GO:0005737	C	cytoplasm	Papilio xuthus	Inosine triphosphate pyrophosphatase	NA	NA
LOC692910	Fail:	A0A6J2KVG8	99.31	1.55e-104	GO:0005783	C	endoplasmic reticulum	Bombyx mandarina	Trafficking protein particle complex subunit	NA	NA
Jafrac1	Fail:	A0A8R2G729	100	4.2299999999999995e-145	GO:0098869	P	cellular oxidant detoxification	Bombyx mori	Thioredoxin domain-containing protein	NA	NA
LOC101741801	Pass:	A0A8S1A8E4	84.977	0	GO:0005525	F	GTP binding	Arctia plantaginis	Nucleolar GTP-binding protein 1	NA	NA
LOC101745249	Pass:	A0A6J1WZK4	90.062	0	GO:0016567	P	protein ubiquitination	Galleria mellonella	RBR-type E3 ubiquitin transferase	NA	NA
LOC101740160	Pass:	A0A6J2KKV7	99.784	0	GO:0006629	P	lipid metabolic process	Bombyx mandarina	Sterol regulatory element-binding protein cleavage-activating protein	NA	NA
LOC119631066	Fail:	A0A2A4J733	67.278	4.7899999999999995e-173	GO:0005794	C	Golgi apparatus	Heliothis virescens	Fucosyltransferase	NA	NA
LOC101742248	Pass:	A0A3S2M214	83.948	0	GO:0006282	P	regulation of DNA repair	Chilo suppressalis	poly(ADP-ribose) glycohydrolase	NA	NA
Ssu72	Fail:	A0A7E5X3S9	91.146	5.0499999999999997e-132	GO:0005634	C	nucleus	Trichoplusia ni	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	NA	NA
Bmptp-Z	Pass:	A0A8R2DQA1	99.528	0	GO:0016791	F	phosphatase activity	Bombyx mori	Tyrosine-protein phosphatase non-receptor type 61F	NA	NA
LOC101747166	Pass:	A0A8R2M1R0	100	0	GO:0016020	C	membrane	Bombyx mori	Neogenin	NA	NA
LOC101744117	Pass:	A0A6J1MLS5	69.886	0	GO:0006508	P	proteolysis	Bicyclus anynana	Aminopeptidase	NA	NA
Rad4	Pass:	A0A2H1VYG6	56.131	0	GO:0006974	P	DNA damage response	Spodoptera frugiperda	DNA repair protein complementing XP-C cells homolog	NA	NA
LOC101738744	Pass:	A0A8R2M1V5	98.695	0	GO:0060271	P	cilium assembly	Bombyx mori	Pericentriolar material 1 protein C-terminal domain-containing protein	NA	NA
LOC101740441	Pass:	A0A8R2HSX8	99.839	0	GO:0005216	F	monoatomic ion channel activity	Bombyx mori	Transient receptor potential protein	NA	NA
LOC101737337	Pass:	A0A8R2LXG1	99.466	0	GO:0034220	P	monoatomic ion transmembrane transport	Bombyx mori	PH-sensitive chloride channel 1	NA	NA
LOC101747223	Pass:	A0A0N0PC21	67.324	0	GO:0016020	C	membrane	Papilio machaon	Dolichyl-phosphate-mannose--protein mannosyltransferase	NA	NA
LOC101740556	Pass:	A0A8R2LXW9	100	0	GO:0002376	P	immune system process	Bombyx mori	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase	NA	NA
LOC101735304	Pass:	A0A8B8IM79	77.708	0	GO:0016757	F	glycosyltransferase activity	Vanessa tameamea	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	NA	NA
LOC101746325	Pass:	A0A821L5F4	81.156	0	GO:0016020	C	membrane	Pieris macdunnoughi	Y+L amino acid transporter 2	NA	NA
LOC692444	Pass:	Q7YTB0	100	0	GO:0004725	F	protein tyrosine phosphatase activity	Bombyx mori	Ecdysteroid-phosphate phosphatase	NA	NA
LOC101742605	Fail:	A0A8S3X3L6	75.771	7.790000000000001e-123	GO:0005739	C	mitochondrion	Parnassius apollo	Mitochondrial import inner membrane translocase subunit Tim21	NA	NA
LOC733136	Pass:	A0A6J2JY45	99.03	0	GO:0005634	C	nucleus	Bombyx mandarina	PWWP domain-containing protein	NA	NA
LOC692901	Fail:	A0A835GTT5	94.86	1.41e-150	GO:0000166	F	nucleotide binding	Spodoptera exigua	small monomeric GTPase	NA	NA
LOC101739453	Fail:	A0A6J2K4D3	100	3.5399999999999996e-134	GO:0005783	C	endoplasmic reticulum	Bombyx mandarina	Reticulon-like protein	NA	NA
LOC101739273	Pass:	A0A8R2R2K5	99.881	0	GO:0008171	F	O-methyltransferase activity	Bombyx mori	Small RNA 2'-O-methyltransferase	NA	NA
LOC101741077	Pass:	A0A7E5WK58	89.808	0	GO:0000166	F	nucleotide binding	Trichoplusia ni	Phospholipid-transporting ATPase	NA	NA
LOC101740556	Pass:	A0A8R1WJP6	100	0	GO:0019677	P	NAD catabolic process	Bombyx mori	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase	NA	NA
LOC101740608	Pass:	A0A8R2HNW5	99.82	0	GO:0016020	C	membrane	Bombyx mori	Sodium/hydrogen exchanger	NA	NA
LOC101738587	Pass:	A0A8R2GC56	100	0	GO:0009605	P	response to external stimulus	Bombyx mori	Tight junction protein ZO-1-like	NA	NA
LOC101735889	Pass:	A0A8S4DH90	68.493	0	GO:0006412	P	translation	Plutella xylostella	39S ribosomal protein L3, mitochondrial	NA	NA
LOC101741532	Pass:	A0A8J9VS64	79.052	0	GO:0006412	P	translation	Brenthis ino	Eukaryotic translation initiation factor 5B	NA	NA
LOC101741294	Pass:	A0A2H1V9W8	61.369	0	GO:0017018	F	myosin phosphatase activity	Spodoptera frugiperda	Serine/threonine-protein phosphatase	NA	NA
LOC101743825	Pass:	A0A3S2NSS2	73.639	0	GO:0015031	P	protein transport	Chilo suppressalis	Conserved oligomeric Golgi complex subunit 1	NA	NA
LOC101739157	Pass:	A0A2A4JW77	92.167	0	GO:0030182	P	neuron differentiation	Heliothis virescens	FERM domain-containing protein	NA	NA
LOC101742491	Fail:	A0A6J2KKZ6	97.126	1.5199999999999998e-106	GO:0005737	C	cytoplasm	Bombyx mandarina	DAZ-associated protein 2	NA	NA
NGR-A14	Pass:	A0A8R2HM10	99.443	0	GO:0004930	F	G protein-coupled receptor activity	Bombyx mori	G-protein coupled receptors family 1 profile domain-containing protein	NA	NA
LOC101738982	Pass:	A0A8B8IB45	75.648	0	GO:0005744	C	TIM23 mitochondrial import inner membrane translocase complex	Vanessa tameamea	Mitochondrial import inner membrane translocase subunit TIM50	NA	NA
LOC101739225	Fail:	A0A0N1PJ82	84.133	5.939999999999999e-172	GO:0004735	F	pyrroline-5-carboxylate reductase activity	Papilio machaon	pyrroline-5-carboxylate reductase	NA	NA
LOC101739835	Pass:	A0A6J2KL95	98.656	0	GO:0016020	C	membrane	Bombyx mandarina	Cation/H+ exchanger domain-containing protein	NA	NA
LOC101745627	Pass:	A0A8R2R9P1	99.939	0	GO:0016579	P	protein deubiquitination	Bombyx mori	ubiquitinyl hydrolase 1	NA	NA
LOC692884	Pass:	A0A6J2JTA7	99.325	0	GO:0030976	F	thiamine pyrophosphate binding	Bombyx mandarina	2-hydroxyacyl-CoA lyase 1 isoform X1	NA	NA
LOC101739310	Pass:	A0A8R2G898	99.91	0	GO:0006511	P	ubiquitin-dependent protein catabolic process	Bombyx mori	Ubiquitin carboxyl-terminal hydrolase 7	NA	NA
LOC101742925	Pass:	A0A8R2R4U1	98.745	0	GO:0005737	C	cytoplasm	Bombyx mori	Rho guanine nucleotide exchange factor 12	NA	NA
LOC101735304	Pass:	A0A6J2KIV6	86.973	0	GO:0000139	C	Golgi membrane	Bombyx mandarina	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	NA	NA
Fpps3	Fail:	A0A8J9UQ71	55.729	2.0999999999999997e-160	GO:0016765	F	transferase activity, transferring alkyl or aryl (other than methyl) groups	Brenthis ino	Farnesyl pyrophosphate synthase	NA	NA
LOC101739798	Pass:	A0A6J2K9X6	100	0	GO:0008233	F	peptidase activity	Bombyx mandarina	Ubiquitin carboxyl-terminal hydrolase	NA	NA
LOC101745949	Pass:	A0A8R2R338	100	0	GO:0016579	P	protein deubiquitination	Bombyx mori	Ubiquitin carboxyl-terminal hydrolase	NA	NA
LOC101742360	Pass:	A0A6J1WVA0	74.269	0	GO:0016020	C	membrane	Galleria mellonella	ATPase H(+)-transporting accessory protein 2	NA	NA
LOC101746244	Pass:	A0A8R2QR85	99.301	0	GO:0004672	F	protein kinase activity	Bombyx mori	Obscurin	NA	NA
LOC101736246	Fail:	A0A6J2K7N5	100	2.2800000000000002e-154	GO:0005525	F	GTP binding	Bombyx mandarina	ADP-ribosylation factor-like protein 4C	NA	NA
LOC101746660	Pass:	A0A6J1P9A2	82.794	0	GO:0016020	C	membrane	Bicyclus anynana	SLC41A/MgtE integral membrane domain-containing protein	NA	NA
LOC119629508	Pass:	A0A8R2R2Z5	100	0	GO:0003676	F	nucleic acid binding	Bombyx mori	RNA-directed DNA polymerase	NA	NA
LOC101742290	Pass:	A0A6J3C3J2	94.572	0	GO:0055085	P	transmembrane transport	Galleria mellonella	Transporter	NA	NA
LOC101742920	Pass:	A0A6J2JEA4	99.475	0	GO:0000166	F	nucleotide binding	Bombyx mandarina	Protein kinase domain-containing protein	NA	NA
LOC733046	Fail:	A0A212EJ65	80.072	3.8199999999999993e-165	GO:0006836	P	neurotransmitter transport	Danaus plexippus plexippus	t-SNARE coiled-coil homology domain-containing protein	NA	NA
LOC101735671	Pass:	A0A6J1WQ63	84.589	0	GO:0006511	P	ubiquitin-dependent protein catabolic process	Galleria mellonella	E3 ubiquitin-protein ligase	NA	NA
LOC119629517	Fail:	A0A8R2M0M9	100	1.45e-147	GO:0006281	P	DNA repair	Bombyx mori	ATP-dependent DNA helicase	NA	NA
LOC101735491	Fail:	A0A7E5VMP5	73.244	1.1599999999999998e-171	GO:0006486	P	protein glycosylation	Trichoplusia ni	Beta-1,4-N-acetylgalactosaminyltransferase	NA	NA
nAChRa7	Pass:	A8HTC5	98.819	0	GO:0045211	C	postsynaptic membrane	Bombyx mori	Nicotinic acetylcholine receptor alpha 7 subunit variant A	NA	NA
LOC101736709	Pass:	A0A8R2LWD5	100	0	GO:0016579	P	protein deubiquitination	Bombyx mori	Ubiquitin carboxyl-terminal hydrolase	NA	NA
LOC101746167	Pass:	A0A6J2JEL1	99.723	0	GO:0042383	C	sarcolemma	Bombyx mandarina	Dystroglycan 1	NA	NA
LOC101739199	Pass:	A0A8R2ARS2	99.582	0	GO:0030015	C	CCR4-NOT core complex	Bombyx mori	CCR4-NOT transcription complex subunit 1	NA	NA
LOC100127019	Pass:	A0A8R2M8A6	100	0	GO:0008234	F	cysteine-type peptidase activity	Bombyx mori	Calpain-A-like	NA	NA
LOC101746848	Pass:	A0A6J1X7V8	86.512	0	GO:0003677	F	DNA binding	Galleria mellonella	DNA replication licensing factor MCM4	NA	NA
Smurf2	Pass:	A0A6J2JCE9	99.754	0	GO:0016740	F	transferase activity	Bombyx mandarina	E3 ubiquitin-protein ligase	NA	NA
EAP30	Fail:	A0A1E1VYG0	90.698	2.6299999999999996e-148	GO:0000814	C	ESCRT II complex	Pectinophora gossypiella	Vacuolar-sorting protein SNF8	NA	NA
LOC101737944	Pass:	A0A6J2J9Y9	99.367	0	GO:0046834	P	lipid phosphorylation	Bombyx mandarina	Diacylglycerol kinase	NA	NA
LOC101742584	Pass:	A0A1E1W7Y2	85.143	0	GO:0016829	F	lyase activity	Pectinophora gossypiella	S-adenosylmethionine decarboxylase proenzyme	NA	NA
